Year,P1,P2,P3,P4,P5,P6
IMO 2000,"(G, 10)","(A, 5)","(C, 35)","(C, 15)","(N, 15)","(G, 35)"
IMO 2001,"(G, 10)","(A, 20)","(C, 25)","(A, 5)","(G, 20)","(A, 25)"
IMO 2002,"(C, 5)","(G, 10)","(A, 35)","(N, 5)","(A, 15)","(G, 45)"
IMO 2003,"(C, 10)","(N, 35)","(G, 40)","(G, 10)","(A, 25)","(N, 35)"
IMO 2004,"(G, 5)","(A, 20)","(C, 35)","(A, 10)","(G, 20)","(N, 35)"
IMO 2005,"(G, 20)","(A, 10)","(A, 30)","(N, 10)","(G, 25)","(C, 35)"
IMO 2006,"(G, 5)","(C, 30)","(A, 35)","(N, 10)","(N, 30)","(C, 45)"
IMO 2007,"(A, 5)","(G, 15)","(C, 45)","(G, 5)","(N, 25)","(A, 50)"
IMO 2008,"(G, 10)","(A, 20)","(N, 30)","(A, 10)","(C, 15)","(G, 40)"
IMO 2009,"(N, 5)","(G, 15)","(A, 40)","(G, 15)","(A, 15)","(C, 45)"
IMO 2010,"(A, 10)","(G, 20)","(A, 40)","(G, 10)","(C, 35)","(A, 40)"
IMO 2011,"(N, 10)","(C, 45)","(A, 40)","(C, 5)","(N, 15)","(G, 45)"
IMO 2012,"(G, 5)","(A, 15)","(C, 45)","(A, 15)","(G, 25)","(A, 45)"
IMO 2013,"(N, 5)","(C, 20)","(G, 35)","(G, 10)","(A, 25)","(C, 45)"
IMO 2014,"(A, 5)","(C, 15)","(G, 40)","(G, 5)","(C, 30)","(C, 35)"
IMO 2015,"(C, 15)","(N, 30)","(G, 25)","(G, 15)","(A, 35)","(A, 30)"
IMO 2016,"(G, 15)","(C, 30)","(N, 40)","(N, 10)","(A, 25)","(C, 25)"
IMO 2017,"(N, 5)","(A, 40)","(C, 40)","(G, 15)","(C, 35)","(N, 40)"
IMO 2018,"(G, 10)","(A, 30)","(C, 40)","(C, 15)","(N, 20)","(G, 45)"
IMO 2019,"(A, 5)","(G, 25)","(C, 40)","(N, 10)","(C, 15)","(G, 35)"
IMO 2020,"(G, 10)","(A, 25)","(C, 40)","(C, 15)","(N, 20)","(C, 50)"
IMO 2021,"(A, 15)","(A, 45)","(G, 45)","(G, 15)","(C, 20)","(A, 35)"
IMO 2022,"(C, 10)","(A, 15)","(N, 40)","(G, 10)","(N, 20)","(C, 40)"
IMO 2023,"(N, 5)","(G, 25)","(A, 30)","(A, 10)","(C, 35)","(G, 45)"
IMO 2024,"(A, 5)","(N, 25)","(C, 45)","(G, 10)","(C, 35)","(A, 40)"
IMO 2025,"(C, 5)","(G, 20)","(N, 25)","(N, 15)","(A, 15)","(C, 50)"
